"nombre","cantidades","info","sabores","imagen","mix","Artículo","Estado","Stock"
"BOLDO X KG","1 UNIDAD","","","","","384","🟢 ok","1"
"INFUSOR PARA TE","1 UNIDAD","","","","","385","🟢 ok","0"
"MANZANILLA FLOR X KG","1 UNIDAD","","","","","386","🟢 ok","0"
"TE ROJO X KG","1 UNIDAD","","","","","388","🟢 ok","0"
"CEREZAS AL MARRASCHINO X 170 g ""AGROIANNI""","1 UNIDAD","","","","","418","🟢 ok","4"
"CEREZAS AL MARRASCHINO X 330 g ""AGROIANNI""","1 UNIDAD","","","","","422","🟢 ok","4"
"HUMO NATURAL X 250 ML","1 UNIDAD","","","","","428","🟢 ok","0"
"PASTA ACEITUNAS NEGRAS X 200 g ""AGROIANNI""","1 UNIDAD","","","","","443","🟢 ok","6"
"PASTA ACEITUNAS VERDES X 200 g ""AGROIANNI""","1 UNIDAD","","","","","444","🟢 ok","5"
"PASTA DE AJI PICANTE X 90 GR","1 UNIDAD","","","","","445","🟢 ok","2"
"PASTA DE AJOS X 200 g ""AGROIANNI""","1 UNIDAD","","","","","448","🟢 ok","0"
"SALSA AJI PICANTE X 180 CC","1 UNIDAD","","","","","458","🟢 ok","8"
"SALSA CESAR 250 GR","1 UNIDAD","","","","","460","🟢 ok","2"
"SALSA CHIMICHURRI  X 250 GR","1 UNIDAD","","","","","461","🟢 ok","0"
"SALSA DE SOJA X 180 CC","1 UNIDAD","","","","","464","🟢 ok","3"
"SALSA JALAPEÑO ROJA X 180 CC","1 UNIDAD","","","","","467","🟢 ok","4"
"SALSA JALAPEÑO VERDE X 180 CC","1 UNIDAD","","","","","468","🟢 ok","0"
"SALSA TERIYAKI X 250 CC","1 UNIDAD","","","","","470","🟢 ok","4"
"TOMATE DESECADOS CONDIMENTADOS X 330 g ""AGROIANNI""","1 UNIDAD","","","","","471","🟢 ok","0"
"JAZMIN XKG","1 UNIDAD","","","","","472","🟢 ok","0"
"CARDO MARIANO TINTURA MADRE X 60 CC ""EL NATURALISTA""","1 UNIDAD","","","","","487","🟢 ok","0"
"LEVADURA TITAN EN COPOS X200GR ""SIN TACC""","1 UNIDAD","","","","","492","🟢 ok","1"
"YOGHURT DURAZNO X 1 L","1 UNIDAD","","","","","493","🟢 ok","0"
"YOGHURT FRUTILLA X 1 L","1 UNIDAD","","","","","494","🟢 ok","4"
"YOGHURT NATURAL AZUCARADO X 1 L","1 UNIDAD","","","","","495","🟢 ok","6"
"YOGHURT NATURAL SIN AZUCAR X 1 L","1 UNIDAD","","","","","496","🟢 ok","2"
"PREMEZCLA P/PANIFI S/ TACC X 1 KG","1 UNIDAD","","","","","497","🟢 ok","7"
"REBOZADOR S/GLUTEN X 500 GR","1 UNIDAD","","","","","499","🟢 ok","3"
"ENELDO SEMILLAS X KG","1 UNIDAD","","","","","502","🟢 ok","0"
"MIX 7 SEMILLAS SALUD X KG","1 UNIDAD","","","","","504","🟢 ok","2"
"MIX DE SLLAS  ADELGAZ X KG","1 UNIDAD","","","","","505","🟢 ok","6"
"MIX SLLAS PARA ENSALADA X KG","1 UNIDAD","","","","","506","🟢 ok","1"
"QUINOA X KG","1 UNIDAD","","","","","507","🟢 ok","0"
"SEMILLA DE AMAPOLA X KG.","1 UNIDAD","","","","","508","🟢 ok","2"
"SEMILLA DE AMARANTO X KG","1 UNIDAD","","","","","509","🟢 ok","0"
"MASTROENI EXTRA BRUT","1 UNIDAD","","","","","510","🟢 ok","0"
"SEMILLA DE CHIA NAC X KG.","1 UNIDAD","","","","","511","🟢 ok","23"
"SEMILLA DE GIRASOL X KG.","1 UNIDAD","","","","","513","🟢 ok","21"
"SEMILLA DE LINO X KG","1 UNIDAD","","","","","514","🟢 ok","8"
"SEMILLA DE ZAPALLO PELADO X KG.","1 UNIDAD","","","","","515","🟢 ok","4"
"SESAMO BLANCO X KG.","1 UNIDAD","","","","","516","🟢 ok","4"
"SESAMO NEGRO X KG","1 UNIDAD","","","","","517","🟢 ok","10"
"GARRAPIÑADA DE MANI X KG","1 UNIDAD","","","","","519","🟢 ok","1"
"MAIZ FRITO SALADO X KG","1 UNIDAD","","","","","520","🟢 ok","3"
"MANI JAPONES","1 UNIDAD","","","","","521","🟢 ok","6"
"MANI TOSTADO SALADO X KG","1 UNIDAD","","","","","523","🟢 ok","3"
"MANI TOSTADO X KG.","1 UNIDAD","","","","","524","🟢 ok","0"
"MIX CERVECERO X KG","1 UNIDAD","","","","","525","🟢 ok","5"
"MIX SALADO X KG","1 UNIDAD","","","","","528","🟢 ok","0"
"TOMATE TRITURADO X 1 KG","1 UNIDAD","","","","","531","🟢 ok","19"
"TOMATE TRITURADO X 500 GR","1 UNIDAD","","","","","532","🟢 ok","15"
"TOMATE CONDIM X 1 KG","1 UNIDAD","","","","","533","🟢 ok","10"
"YOGURT PROTEICO ""YOGURLAC"" X 1L","1 UNIDAD","","","","","554","🟢 ok","1"
"PETALOS DE ROSA XKG","1 UNIDAD","","","","","555","🟢 ok","0"
"LAS PERDICES CAB SAUV X 750","1 UNIDAD","","","","","560","🟢 ok","0"
"MASTROENI CABERNET FRANC X 750 CC","1 UNIDAD","","","","","561","🟢 ok","0"
"LAS PERDICES EXTRA BRUT CORTO X 750","1 UNIDAD","","","","","567","🟢 ok","0"
"LAS PERDICES PARTRIDGE CHARDONNAY X 750","1 UNIDAD","","","","","569","🟢 ok","0"
"LAS PERDICES RESERVA CHARDONNAY X 750","1 UNIDAD","","","","","570","🟢 ok","0"
"MASTROENI ESP DULCE NATURAL X 750 CC","1 UNIDAD","","","","","572","🟢 ok","0"
